CVEGEO,CVE_ENT,CVE_MUN,NOM_ENT,NOM_MUN,CVE_SUN_ZM,NOM_SUN_ZM
0909002,09,09002,Distrito Federal,Azcapotzalco,M09.01,Valle de México
0909003,09,09003,Distrito Federal,Coyoacán,M09.01,Valle de México
0909004,09,09004,Distrito Federal,Cuajimalpa de Morelos,M09.01,Valle de México
0909005,09,09005,Distrito Federal,Gustavo A. Madero,M09.01,Valle de México
0909006,09,09006,Distrito Federal,Iztacalco,M09.01,Valle de México
0909007,09,09007,Distrito Federal,Iztapalapa,M09.01,Valle de México
0909008,09,09008,Distrito Federal,La Magdalena Contreras,M09.01,Valle de México
0909009,09,09009,Distrito Federal,Milpa Alta,M09.01,Valle de México
0909010,09,09010,Distrito Federal,Álvaro Obregón,M09.01,Valle de México
0909011,09,09011,Distrito Federal,Tláhuac,M09.01,Valle de México
0909012,09,09012,Distrito Federal,Tlalpan,M09.01,Valle de México
0909013,09,09013,Distrito Federal,Xochimilco,M09.01,Valle de México
0909014,09,09014,Distrito Federal,Benito Juárez,M09.01,Valle de México
0909015,09,09015,Distrito Federal,Cuauhtémoc,M09.01,Valle de México
0909016,09,09016,Distrito Federal,Miguel Hidalgo,M09.01,Valle de México
0909017,09,09017,Distrito Federal,Venustiano Carranza,M09.01,Valle de México
1414002,14,14002,Jalisco,Acatlán de Juárez,M14.01,Guadalajara
1414039,14,14039,Jalisco,Guadalajara,M14.01,Guadalajara
1414044,14,14044,Jalisco,Ixtlahuacán de los Membrillos,M14.01,Guadalajara
1414051,14,14051,Jalisco,Juanacatlán,M14.01,Guadalajara
1414070,14,14070,Jalisco,El Salto,M14.01,Guadalajara
1414097,14,14097,Jalisco,Tlajomulco de Zúñiga,M14.01,Guadalajara
1414098,14,14098,Jalisco,San Pedro Tlaquepaque,M14.01,Guadalajara
1414101,14,14101,Jalisco,Tonalá,M14.01,Guadalajara
1414120,14,14120,Jalisco,Zapopan,M14.01,Guadalajara
1414124,14,14124,Jalisco,Zapotlanejo,M14.01,Guadalajara
1919001,19,19001,Nuevo León,Abasolo,M19.01,Monterrey
1919006,19,19006,Nuevo León,Apodaca,M19.01,Monterrey
